

BAY_NUMBER,BCU_NUMBER,METER_NUMBER,TIMESTAMP,START_TOTALIZER,END_TOTALIZER,NET_TOTALIZER
01,BC-501A,2,2025-02-19 09:58:40,28.5,28.5,0.0
01,BC-501A,1,2025-02-19 09:58:40,96.7,96.7,0.0
01,BC-501B,1,2025-02-19 09:58:40,96.4,96.4,0.0
02,BC-502A,1,2025-02-19 09:58:40,118.5,118.5,0.0
02,BC-502A,2,2025-02-19 09:58:40,52.3,52.3,0.0
02,BC-502B,1,2025-02-19 09:58:40,238.8,238.8,0.0
03,BC-503A,2,2025-02-19 09:58:40,18.2,18.2,0.0
03,BC-503A,1,2025-02-19 09:58:40,22.3,22.3,0.0
03,BC-503B,1,2025-02-19 09:58:40,1056.0,1056.0,0.0
04,BC-504A,1,2025-02-19 09:58:40,41.5,41.5,0.0
04,BC-504A,2,2025-02-19 09:58:40,214.3,214.3,0.0
04,BC-504B,1,2025-02-19 09:58:40,66.3,66.3,0.0
05,BC-505A,1,2025-02-19 09:58:40,4423.8,4429.5,5.7
05,BC-505A,2,2025-02-19 09:58:40,188.1,188.1,0.0
05,BC-505B,1,2025-02-19 09:58:40,83.6,83.6,0.0
06,BC-506A,1,2025-02-19 09:58:40,111.3,111.3,0.0
06,BC-506A,2,2025-02-19 09:58:40,1.4,1.4,0.0
06,BC-506B,1,2025-02-19 09:58:40,1.1,1.1,0.0
07,BC-507A,1,2025-02-19 09:58:40,376.0,376.0,0.0
07,BC-507A,2,2025-02-19 09:58:40,34.8,34.8,0.0
07,BC-507B,1,2025-02-19 09:58:40,234.1,234.1,0.0
08,BC-508A,1,2025-02-19 09:58:40,1127.3,1127.3,0.0
08,BC-508A,2,2025-02-19 09:58:40,1964.6,1964.6,0.0
08,BC-508B,1,2025-02-19 09:58:40,181.2,181.2,0.0
09,BC-509A,1,2025-02-19 09:58:40,163.5,163.5,0.0
09,BC-509A,2,2025-02-19 09:58:40,19.0,19.0,0.0
09,BC-509B,1,2025-02-19 09:58:40,224.6,224.6,0.0
10,BC-510A,2,2025-02-19 09:58:40,523.3,523.3,0.0
10,BC-510A,1,2025-02-19 09:58:40,385.7,385.7,0.0
10,BC-510B,1,2025-02-19 09:58:40,153.4,153.4,0.0
11,BC-511A,1,2025-02-19 09:58:40,19.0,19.0,0.0
11,BC-511B,1,2025-02-19 09:58:40,16.8,16.8,0.0
12,BC-512A,1,2025-02-19 09:58:40,2732.6,2732.6,0.0
