ORG_SA_CD,ORG_RO_NM
666,GWALIOR RETAIL REGIO
629,AVIATION HQO
638,BIOFUELS & RENEW HQO
638,BIOFUELS & RENEW HQO
516,KOCHI I&C RO
517,KOCHI I&C RO
518,KOCHI I&C RO
505,CHENNAI I&C RO
509,CHENNAI I&C RO
510,CHENNAI I&C RO
455,CHANDIGARH I&C RO
456,CHANDIGARH I&C RO
457,CHANDIGARH I&C RO
543,CHANDIGARH I&C RO
600,CHANDIGARH I&C RO
458,DELHI I&C RO
459,DELHI I&C RO
460,DELHI I&C RO
462,JAIPUR I&C RO
463,JAIPUR I&C RO
464,JAIPUR I&C RO
465,LUCKNOW I&C RO
466,LUCKNOW I&C RO
467,LUCKNOW I&C RO
468,LUCKNOW I&C RO
469,BHUBANESWAR I&C RO
470,BHUBANESWAR I&C RO
471,BHUBANESWAR I&C RO
556,BHUBANESWAR I&C RO
557,BHUBANESWAR I&C RO
558,BHUBANESWAR I&C RO
472,KOLKATA I&C RO
473,KOLKATA I&C RO
474,KOLKATA I&C RO
475,KOLKATA I&C RO
476,KOLKATA I&C RO
485,AHMEDABAD I&C RO
486,AHMEDABAD I&C RO
502,AHMEDABAD I&C RO
537,AHMEDABAD I&C RO
487,BHOPAL I&C RO
488,BHOPAL I&C RO
489,BHOPAL I&C RO
603,BHOPAL I&C RO
490,MUMBAI I&C RO
491,MUMBAI I&C RO
492,MUMBAI I&C RO
503,MUMBAI I&C RO
576,MUMBAI I&C RO
494,NAGPUR I&C RO
495,NAGPUR I&C RO
580,NAGPUR I&C RO
498,PUNE I&C RO
499,PUNE I&C RO
500,PUNE I&C RO
501,PUNE I&C RO
504,BENGALURU I&C RO
506,BENGALURU I&C RO
507,BENGALURU I&C RO
508,BENGALURU I&C RO
594,BENGALURU I&C RO
511,CHENNAI I&C RO
512,CHENNAI I&C RO
513,CHENNAI I&C RO
519,SECUNDRABAD I&C RO
520,SECUNDRABAD I&C RO
521,SECUNDRABAD I&C RO
522,SECUNDRABAD I&C RO
481,VISAKH I&C RO
482,VISAKH I&C RO
483,VISAKH I&C RO
484,VISAKH I&C RO
565,VISAKH I&C RO
566,VISAKH I&C RO
496,RAIPUR I&C RO
497,RAIPUR I&C RO
588,RAIPUR I&C RO
639,CGD SONIPAT JIND
640,BAREILLY GA
641,CGD MAINPURI
642,CGD SHAHJAHANPUR
643,CGD HALDWANI
644,CGD FARRUKHABAD
478,RANCHI I&C RO
479,RANCHI I&C RO
480,RANCHI I&C RO
637,GAS HQO
632,LPG HQO
296,DELHI LPG RO
297,DELHI LPG RO
298,DELHI LPG RO
377,DELHI LPG RO
301,JALANDHAR LPG RO
302,JALANDHAR LPG RO
303,JALANDHAR LPG RO
416,JALANDHAR LPG RO
442,JALANDHAR LPG RO
299,JAMMU LPG RO
300,JAMMU LPG RO
417,JAMMU LPG RO
306,JAIPUR LPG RO
309,JAIPUR LPG RO
395,JAIPUR LPG RO
418,JAIPUR LPG RO
310,LUCKNOW LPG RO
382,LUCKNOW LPG RO
399,LUCKNOW LPG RO
412,LUCKNOW LPG RO
438,LUCKNOW LPG RO
314,BHUBANESHWAR LPG RO
315,BHUBANESHWAR LPG RO
409,BHUBANESHWAR LPG RO
425,BHUBANESHWAR LPG RO
318,KOLKATA LPG RO
319,KOLKATA LPG RO
406,KOLKATA LPG RO
441,KOLKATA LPG RO
323,RAIPUR LPG RO
324,RAIPUR LPG RO
407,RAIPUR LPG RO
431,RAIPUR LPG RO
325,VISAKH LPG RO
326,VISAKH LPG RO
327,VISAKH LPG RO
328,VISAKH LPG RO
329,AURANGABAD LPG RO
330,AURANGABAD LPG RO
331,AURANGABAD LPG RO
426,AURANGABAD LPG RO
332,PUNE LPG RO
335,PUNE LPG RO
387,PUNE LPG RO
403,PUNE LPG RO
339,AHMEDABAD LPG RO
340,AHMEDABAD LPG RO
430,AHMEDABAD LPG RO
341,NAGPUR LPG RO
342,NAGPUR LPG RO
343,NAGPUR LPG RO
344,NAGPUR LPG RO
345,INDORE LPG RO
346,INDORE LPG RO
378,INDORE LPG RO
419,INDORE LPG RO
348,MUMBAI LPG RO
349,MUMBAI LPG RO
350,MUMBAI LPG RO
351,MUMBAI LPG RO
354,MUMBAI LPG RO
355,BANGALORE LPG RO
356,BANGALORE LPG RO
357,BANGALORE LPG RO
358,BANGALORE LPG RO
359,HYDERABAD LPG RO
360,HYDERABAD LPG RO
361,HYDERABAD LPG RO
385,HYDERABAD LPG RO
386,HYDERABAD LPG RO
444,HYDERABAD LPG RO
363,CHENNAI LPG RO
365,CHENNAI LPG RO
447,CHENNAI LPG RO
366,HUBLI LPG RO
368,HUBLI LPG RO
381,HUBLI LPG RO
369,VIJAYWADA LPG RO
370,VIJAYWADA LPG RO
445,VIJAYWADA LPG RO
373,KOCHI LPG RO
374,KOCHI LPG RO
434,KOCHI LPG RO
321,PATNA LPG RO
392,PATNA LPG RO
410,PATNA LPG RO
411,PATNA LPG RO
352,NAVI MUMBAI LPG RO
353,NAVI MUMBAI LPG RO
379,NAVI MUMBAI LPG RO
388,NAVI MUMBAI LPG RO
347,JABALPUR LPG RO
