USER_NAME,ROLE_NAME,LOCATION,Novex Role
32002455,IL_PLANING_OFFCER,1183,SOD Planning Officer
31968130,IL_PLANING_OFFCER,1187,SOD Planning Officer
31978020,IL_PLANING_OFFCER,1254,SOD Planning Officer
31969890,IL_PLANING_OFFCER,1305,SOD Planning Officer
35416640,IL_PLANING_OFFCER,1341,SOD Planning Officer
31951830,IL_PLANING_OFFCER,1895,SOD Planning Officer
35419750,IL_PLANING_OFFCER,1895,SOD Planning Officer
31951670,IL_PLANING_OFFCER,1992,SOD Planning Officer
31952490,IL_PLANING_OFFCER,1992,SOD Planning Officer
31939740,IL_PLANING_OFFCER,1999,SOD Planning Officer
35324330,IL_PLANING_OFFCER,3698,SOD Planning Officer
31927000,IL_PLANING_OFFCER,4546,SOD Planning Officer
31921880,IL_PLANT_INCHARG,1504,Plant Incharge SOD 
31924140,IL_PLANT_INCHARG,1636,Plant Incharge SOD 
31924520,IL_DGM_SODZONE,1350,Zonal LPG SOD
31908830,IL_CHMNGR_DNTSODZONE,1350,Zonal SOD
31942330,IL_PLANING_OFFCER,1554,SOD Planning Officer
31970560,IL_PLANING_OFFCER,1221,SOD Planning Officer
31940910,IL_PLANING_OFFCER,1292,SOD Planning Officer
31968640,IL_PLANING_OFFCER,1319,SOD Planning Officer
31952370,IL_PLANING_OFFCER,1385,SOD Planning Officer
31955670,IL_PLANING_OFFCER,1436,SOD Planning Officer
32002301,IL_PLANING_OFFCER,1504,SOD Planning Officer
31966720,IL_PLANING_OFFCER,1546,SOD Planning Officer
31914890,IL_PLANING_OFFCER,1584,SOD Planning Officer
31952140,IL_PLANING_OFFCER,1630,SOD Planning Officer
31972210,IL_PLANING_OFFCER,1650,SOD Planning Officer
31927060,IL_PLANING_OFFCER,1712,SOD Planning Officer
31930550,IL_PLANING_OFFCER,1777,SOD Planning Officer
30063250,IL_PLANING_OFFCER,4546,SOD Planning Officer
31958360,IL_MNGR_DNTSODZONE,1370,Zonal SOD
31913620,IL_OPNHEAD_SODZONE,1350,Zonal Head LEVEL SOD
31951390,IL_PLANING_OFFCER,1180,SOD Planning Officer
31969070,IL_PLANING_OFFCER,1254,SOD Planning Officer
