LocationID,LocationState,LocationZone,LocationType,LocationRegion,LocationRegion,LocationName,Address,LocationPinCode,LocationCity,LocationDistrict,Latitude,Longitude
2171,JAMMU & KASHMIR,NZ,LPG,Jammu and Kashmir,Jammu and Kashmir,JAMMU LPG PLANT,JAMMU,180009,JAMMU,,32.7266016,74.8570259
2173,JAMMU & KASHMIR,NZ,LPG,Jammu and Kashmir,Jammu and Kashmir,PAMPORE LPG PLANT,"PAMPORE , PULWAMA",192121,PAMPORE,,34.0060098,74.9238001
2121,HARYANA,NZ,LPG,Haryana,Haryana,BAHADURGARH LPG PLANT,NEAR ASAUDHA RAILWAY STATION,124505,BAHADURGARH,,29.3849695,76.6080554
2203,PUNJAB,NZ,LPG,Punjab,Punjab,HOSHIARPUR LPG PLANT,DISTRICT HOSHAIRPUR,144105,HOSHIARPUR,,31.5143178,75.911483
2215,PUNJAB,NZ,LPG,Punjab,Punjab,BHATINDA LPG PLANT,"TALUKA TALWANDI SABO , DIST BHATINDA",151301,BHATINDA,,,
2204,HARYANA,NZ,LPG,Haryana,Haryana,JIND LPG PLANT,"ROHTAK ROAD , JIND",126102,JIND,,29.325508,76.2997909
2126,UTTAR PRADESH,NZ,LPG,Uttar Pradesh,Uttar Pradesh,LONI LPG PLANT,P.O. LONI,201102,GHAZIABAD,,28.7333526,77.2986264
2330,UTTRAKHAND,NZ,LPG,Uttarakhand,Uttarakhand,SITARGANJ LPG PLANT,SITARGANJ PHASE-II,262405,UDHAM SINGH NAGAR,,28.9235479,79.7007211
2316,UTTAR PRADESH,NCZ,LPG,Uttar Pradesh,Uttar Pradesh,UNNAO LPG PLANT,"UPSIDC,INDUSTRIAL AREA",209801,UNNAO,,26.5393449,80.4878195
2314,UTTAR PRADESH,NCZ,LPG,Uttar Pradesh,Uttar Pradesh,GORAKHPUR LPG PLANT,SAHJANWA,273209,GORAKHPUR,,26.7605545,83.3731675
2660,BIHAR,NCZ,LPG,Bihar,Bihar,PURNEA LPG PLANT,MARANGA,854301,PURNEA,,,
2659,BIHAR,NCZ,LPG,Bihar,Bihar,PATNA LPG PLANT,"KOELWAR,BHOJPUR",802314,ARAH,,25.5940947,85.1375645
2663,BIHAR,NCZ,LPG,Bihar,Bihar,CHAMPARAN LPG PLANT,BLOCK HARSIDHI,845422,MOTIHARI,,27.1543104,84.3542049
2324,UTTAR PRADESH,NCZ,LPG,Uttar Pradesh,Uttar Pradesh,GONDA LPG PLANT,BAHRAICH ROAD,271001,GONDA,,27.1339874,81.9618979
2623,ODISHA,EZ,LPG,Odisha,Odisha,JATNI LPG PLANT,DIST - KHURDA,752050,JATNI,,20.1623534,85.7011384
2630,ODISHA,EZ,LPG,Odisha,Odisha,RAYAGADA LPG PLANT,VILLAGE-PITAMAHAL,765002,RAYAGADA,,19.171209,83.4163226
2692,CHHATISGARH,EZ,LPG,Chattisgarh,Chattisgarh,RAIPUR LPG PLANT,NEAR POL DEPOT,492101,RAIPUR,,21.2513844,81.6296413
2657,WEST BENGAL,EZ,LPG,West Bengal,West Bengal,PAHARPUR LPG PLANT,OIL INSTALLATION ROAD,700088,KOLKATA,,26.5730056,88.7253393
2707,WEST BENGAL,EZ,LPG,West Bengal,West Bengal,PANAGARH LPG PLANT,VILLAGE - KOTA,713148,PANAGARH,,,
2655,JHARKHAND,EZ,LPG,Jharkhand,Jharkhand,JAMSHEDPUR LPG PLANT,LARGE SECTOR GAMHARIA,832108,JAMSHEDPUR,,22.8045665,86.2028754
2662,JHARKHAND,EZ,LPG,Jharkhand,Jharkhand,BARHI LPG PLANT,"VILL-KONRA,THANA NO-72, DIST-HAZARIBAGH",825405,BARHI,,24.303789,85.414341
2693,ASSAM,EZ,LPG,Assam,Assam,GOALPARA LPG PLANT,VILLAGE - TINIKONIAPARA,783125,GOALPARA,,25.6996582,86.9749222
2241,RAJASTHAN,NWZ,LPG,Rajasthan,Rajasthan,AJMER LPG PLANT,VILLAGE GADERI,305601,AJMER,,26.4498954,74.6399163
2248,RAJASTHAN,NWZ,LPG,Rajasthan,Rajasthan,KOTA LPG PLANT,VIA CABLE NAGAR,325003,KOTA,,25.2138156,75.8647527
2262,RAJASTHAN,NWZ,LPG,Rajasthan,Rajasthan,PINDAWARA LPG PLANT,"NH 27, TEHSIL PINDWARA",307023,SIROHI,,,
2435,GUJARAT,NWZ,LPG,Gujarat,Gujarat,GANDHINAGAR LPG PLANT,VILLAGE: SARDHAV,382640,GANDHINAGAR,,23.2156354,72.6369415
2455,GUJARAT,NWZ,LPG,Gujarat,Gujarat,HAZIRA LPG PLANT,,,GANDHINAGAR,,,
2507,MADHYA PRADESH,NWZ,LPG,Madhya Pradesh,Madhya Pradesh,INDORE LPG PLANT,"A.B. ROAD, NH-3",453771,INDORE,,22.7195687,75.8577258
2520,MADHYA PRADESH,NWZ,LPG,Madhya Pradesh,Madhya Pradesh,BHOPAL LPG PLANT,"PO - KURAWAR, DISTT. - RAJGARH",465667,KURAWAR,,23.2599333,77.412615
2504,MADHYA PRADESH,NWZ,LPG,Madhya Pradesh,Madhya Pradesh,JABALPUR LPG PLANT,"MANERI INDUSTRIAL AREA,",481885,JABALPUR,,23.1685786,79.9338798
2401,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,CHAKAN LPG PLANT,"VILLAGE MHALUGE, INGLE, CHAKAN",410501,PUNE,,18.7632075,73.8613203
2402,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,HAZARWADI LPG PLANT,"TALUKA- PALUS, HAZARDWADI",416303,SANGLI,,,
2408,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,SOLAPUR LPG PLANT,TAL- MOHOL,413255,SOLAPUR,,17.6599188,75.9063906
2472,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,KHAPRI LPG PLANT,KHAPRI,441108,NAGPUR,,,
2471,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,CHANDRAPUR LPG PLANT,MIDC GHUGHUS ROAD,442406,CHANDRAPUR,,19.9615398,79.2961468
2539,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,MAHUL LPG PLANT,CHEMBUR,400074,MUMBAI,,,
2531,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,USAR LPG PLANT,ALIBAG-ROHA ROAD,402203,ALIBAG,,,
