LocationID,LocationZone,LocationName,LocationType,Address,LocationRegion,LocationState,LocationPinCode,LocationDistrict,LocationCity,Latitude,Longitude,LocalAutomationVendor
1644,EZ,Kolkata I,TAS,"3953 Ramos Villages Apt. 522
North Tony, ID 23954",PW,South Carolina,64690,New Joshua,Romanville,22.5726,88.3639,
1940,SCZ,Kadapa,RO,"Unit 4070 Box 7966
DPO AP 84199",VI,Delaware,41802,Johnsonshire,New Kevin,14.4674,78.8242,
1436,CZ,Sagar,TAS,"82550 Tami Isle
Danielhaven, WV 53109",WI,Illinois,80838,West Jason,Pamelaport,23.8417,78.7378,
1436,CZ,Sagar,LPG,"2597 Katie Unions Apt. 456
Lake Rachelhaven, NM 23175",NJ,South Carolina,56485,Nathanshire,South Dorothy,23.8417,78.7378,
1436,CZ,Sagar,LPG,"0667 Kaiser Freeway Suite 466
West Stephanie, NJ 80566",PR,New York,95738,Douglasberg,Port Michael,23.8417,78.7378,
1644,EZ,Kolkata I,RO,"5968 White Club Suite 630
Wiseland, GA 16135",CT,Minnesota,48937,Ryanstad,Lauraview,22.5726,88.3639,
1644,EZ,Kolkata I,TAS,"5898 Lee Locks
Kevinfurt, PA 96584",KY,New Jersey,33691,Lake Ericaside,Davidberg,22.5726,88.3639,
1410,NWZ,Vadodara,RO,"107 Austin Viaduct Apt. 866
Perkinsside, PW 64239",MA,Mississippi,722,New Gloria,New Jacobborough,22.3072,73.1812,
1410,NWZ,Vadodara,LPG,"49134 Anderson Station Apt. 092
East Travisland, CO 59581",NH,Maryland,42721,Lake Paige,New Patrickhaven,22.3072,73.1812,
1410,NWZ,Vadodara,TAS,"506 Smith Vista Apt. 240
South Amyfort, IA 00816",IL,Washington,48639,South Andrew,East Charlesstad,22.3072,73.1812,
1410,NWZ,Vadodara,RO,"9353 Jamie Vista
Port Ashley, MI 29941",WI,New Mexico,95041,West Lesliestad,Torresshire,22.3072,73.1812,
1410,NWZ,Vadodara,TAS,"PSC 3093, Box 1580
APO AA 81754",NV,Vermont,2998,New Linda,Fordbury,22.3072,73.1812,
1410,NWZ,Vadodara,LPG,"651 Andrade Underpass Apt. 174
North Suzanne, RI 42339",WA,Massachusetts,86178,Lake Rachel,New Sydneychester,22.3072,73.1812,
1410,NWZ,Vadodara,RO,"175 Nelson Place Apt. 785
North Julie, NE 56121",IA,New York,84197,Williamtown,Port Waynetown,22.3072,73.1812,
1410,NWZ,Vadodara,RO,"350 Collins Port
Patrickfurt, DE 74998",MP,Texas,22739,West Coreyborough,Michaelmouth,22.3072,73.1812,
1410,NWZ,Vadodara,LPG,"240 Davidson Circles Suite 294
West Tracymouth, PR 60133",DC,Rhode Island,1810,North Angel,Gordonport,22.3072,73.1812,
1410,NWZ,Vadodara,RO,"USNS Vega
FPO AA 44688",FM,Arkansas,51184,New John,New Marktown,22.3072,73.1812,
1410,NWZ,Vadodara,RO,"596 Williams Crossroad Apt. 089
Port Christophershire, ND 62756",HI,Wyoming,92876,Paulville,Port Maryville,22.3072,73.1812,
1410,NWZ,Vadodara,LPG,"2347 James Hills
Dennisstad, CO 48055",NJ,Nebraska,61563,Luisfort,North Rebeccamouth,22.3072,73.1812,
1410,NWZ,Vadodara,RO,"1944 Samantha Overpass Suite 317
Rickyberg, VA 23468",VI,North Carolina,90946,Timothyhaven,Rogerton,22.3072,73.1812,
1385,NWZ,Palanpur,LPG,"747 Riley Station
Medinaport, KY 25282",MH,Colorado,88085,West Brianna,Melindachester,24.1704,72.4384,
1385,NWZ,Palanpur,LPG,"322 Isaac Forks Suite 191
Jamesmouth, PA 16951",NV,Ohio,33210,New Ryan,New Christopherfurt,24.1704,72.4384,
1385,NWZ,Palanpur,RO,"25072 Adam Meadows Apt. 591
Josephborough, AR 76193",OK,California,50968,South Antonioview,Smithfort,24.1704,72.4384,
1385,NWZ,Palanpur,TAS,"3054 Bill Locks
Samanthafort, RI 42107",MO,Maryland,57621,Michaelbury,East Victoriaborough,24.1704,72.4384,
1385,NWZ,Palanpur,LPG,"9375 Lisa Center
Lake Jeffrey, LA 85681",PR,Minnesota,99198,West Johnton,Laurenhaven,24.1704,72.4384,
1385,NWZ,Palanpur,RO,"127 Brooke Court
West Matthew, IL 40029",AZ,Hawaii,89441,Kerrton,North Maria,24.1704,72.4384,
