LocationID,LocationName,LocationZone,LocationRegion,LocationDistrict,LocationState,Latitude,Longitude,LocationPinCode,LocationCity,Address,LocationType
1128,MATHURA TERMINAL,NCZ,Uttar Pradesh,,Uttar Pradesh,27.4924134,77.673673,281005,MATHURA,"U.P.S.I.D.C. INDUSTRIAL AREA,D -2",TAS
1146,MEERUT DEPOT,NCZ,Uttar Pradesh,,Uttar Pradesh,28.9496663,77.6592208,250103,MEERUT,"VEDVYAS PURI,VILLAGE-POOTA,HPCL MEERUT IRD",TAS
1155,ROORKEE DEPOT,NZ,Uttarakhand,,Uttarakhand,29.7945375,77.9453594,247664,ROORKEE,"PLOT NO.2, U.A.S.I.D.C. INDUSTRIAL AREA,HINDUSTAN PETROLEUM CORPORATION LIMITED",TAS
1157,BAREILLY DEPOT,NCZ,Uttar Pradesh,,Uttar Pradesh,,,243301,AONLA,"VILLAGE - NAGARIA SATAN, PO - NOORPUR,HINDUSTAN PETROLEUM CORPORATION LTD,",TAS
1164,BHATINDA TERMINAL,NFZ,Punjab,,Punjab,30.164455,74.9836747,151001,BATHINDA,"MANSA ROAD,BATHINDA",TAS
1180,SANGRUR DEPOT,NFZ,Punjab,,Punjab,30.1543649,75.897048,148001,SANGRUR,"POL DEPOT,HPCL",TAS
1183,NALGARH DEPOT,NFZ,Himachal Pradesh,,Himachal Pradesh,31.01986507,76.71732629,174101,NALAGARH,"BADDI-NALAGARH ROAD,HPCL BAHADURGRH",TAS
1187,HMEL WHITE OIL TERMINAL,NFZ,Punjab,,Punjab,,,151301,BHATINDA,"C/O HPCL - MITTAL ENERGY LIMITED,,HPCL MARKETING COORDINATION GROUP,",TAS
1216,BAHADURGARH TERMINAL,NZ,HARYANA,,Haryana,28.734277,76.8518594,124505,BAHADURGARH,"VILLAGE-ASAUDHA,BAHADURGARH TERMINAL",TAS
1221,DELHI TERMINAL,NZ,Delhi,,Delhi,28.6887777,76.9738305,110041,DELHI,"HINDUSTAN PETROLEUM CORPORATION LIMITED,DELHI TERMINAL",TAS
