sl_no,novex_role,tibco_role,bu
1,HQO Head LPG,SD_LSBU_HEAD,LPG
2,Zonal Operations Chief Manager LPG,IL_CHMNGR_LPGONDZONE,LPG
3,Zonal Operations Head LPG,IL_OPNHEAD_LPGZONE,LPG
4,Zonal Head LPG,SD_LZONAL_HEAD,LPG
5,Zonal Officer LPG,SD_LZONAL_OFFICER,LPG
6,Regional Manager LPG,SD_LREGNL_MNGR,LPG
7,Location In-Charge LPG,IL_LPGPLNT_INCHARG,LPG
8,Planning Officer LPG,IL_LPG_PLNGOFCR,LPG
9,Safety Officer LPG,PM_SAFETY_OFFICER,LPG
10,Maintenance Officer LPG,PM_MAINT_OFFICER,LPG
11,HQO LPG,SD_LHQO_OFFICER,LPG
12,HQO Sale General Manager,SD_LHQO_GMSALES,LPG
13,Sales Officer LPG,SD_LSALES_OFFICER,LPG
14,Planning Officer SOD,IL_PLANING_OFFCER,TAS
15,Maintenance Officer SOD,PM_MAINT_OFFICER,TAS
16,Safety Officer SOD,PM_SAFETY_OFFICER,TAS
17,Location In-Charge SOD,PM_LOCN_INCHRG,TAS
18,COLA HQO Officer SOD,IL_COLA_PLANNING,TAS
19,HQO HSE SOD,IL_GM_SOD,TAS
20,Zonal Head SOD,IL_DGM_SODZONE,TAS
21,HQO HSE SOD,IL_ED_SOD,TAS
22,HQO HSE SOD,IL_DGM_SODNFP,TAS
23,Plant In-Charge SOD,IL_PLANT_INCHARGE,TAS
24,Zonal Manager SOD,IL_MNGR_DNTSODZONE,TAS
25,Zonal Operations Head SOD,IL_OPNHEAD_SODZONE,TAS
26,Zonal Transport Officer SOD,IL_ZONAL_TRNSPRTN,TAS
27,Zonal Chief Manager SOD,IL_CHMNGR_DNTSODZONE,TAS
28,Zonal Executive Officer SOD,IL_EXEOFF_DNTSODZONE,TAS
29,HQO HSE SOD,IL_MANAGER_SOD,TAS
30,HQO Supply Officer SOD,IL_DGM_SUPPLIES,TAS
31,Distribution Manager SOD,IL_MNGR_DISTRIBUTN,TAS
32,Regional Manager RO,SD_RREGNL_MNGR,RO
33,HQO Officer RO,SD_RHQO_OFFICER,RO
34,Sales Officer RO,SD_RSALES_OFFICER,RO
35,HQO RO,SD_RHQO_GMSALES,RO
36,Zonal Head RO,SD_RZONAL_HEAD,RO
37,Regional Officer RO,SD_RREGNL_REMIS,RO
38,Zonal Officer RO,SD_RREGNL_REMIS,RO
39,HQO Operations LPG,LPG SBU MKTNG,LPG
40,DS Sales Officer,SD_DSALES_OFFICER,DS
41,DS Sales Officer,SD_DHSALES_OFFICER,DS
42,DS Regional Manager,SD_DREGNL_MNGR,DS
43,DS HQO Officer,SD_DHQO_PLM,DS
44,DS HQO Officer,SD_DHQO_GMSALES,DS
45,DS HQO Officer,SD_DHQO_OFFICER,DS
46,DS Sales Officer,SD_CRDTDBT,DS
47,DS Sales Officer,SD_PRC,DS
48,DS Sales Officer,SD_DMKTG_OFFICER,DS
