equipment_name,sap_id,tag,set,clear
LP 01_BC-501A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 02_BC-501B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 03_BC-502A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 04_BC-502B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 05_BC-503A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 06_BC-503B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 07_BC-504A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 08_BC-504B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 09_BC-505A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 10_BC-505B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 11_BC-506A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 12_BC-506B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 13_BC-507A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 14_BC-507B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 15_BC-508A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 16_BC-508B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 17_BC-509A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 18_BC-509B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 19_BC-510A_BS VI MS@Mathura,1128,ABCD1234,1,0
LP 20_BC-510B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 21_BC-511A_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 22_BC-511B_BS VI HSD@Mathura,1128,ABCD1234,1,0
LP 23_BC-512A_LSHSP@Mathura,1128,ABCD1234,1,0
LP 24_BC-512B_SKO@Mathura,1128,ABCD1234,1,0
LP 25_BC-513A_LSHSP@Mathura,1128,ABCD1234,1,0
LP 26_BC-513B_LDO@Mathura,1128,ABCD1234,1,0
LP 27_BC-514A_LSHSP@Mathura,1128,ABCD1234,1,0
LP 28_BC-514B_LDO@Mathura,1128,ABCD1234,1,0
LP 01_BC-01A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 02_BC-01B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 03_BC-02A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 04_BC-02B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 05_BC-03A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 06_BC-03B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 07_BC-04A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 08_BC-04B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 09_BC-05A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 10_BC-05B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 11_BC-06A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 12_BC-06B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 13_BC-07A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 14_BC-07B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 15_BC-09A-LP1_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 16_BC-09A-LP2_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 17_BC-09B-LP2_SKO@Secunderabad,1919,ABCD1234,1,0
LP 18_BC-0A-LP1_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 19_BC-0A-LP2_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 20_BC-0B-LP1_HEXANE@Secunderabad,1919,ABCD1234,1,0
LP 21_BC-0B-LP2_MTO@Secunderabad,1919,ABCD1234,1,0
LP 22_BC-10A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 23_BC-10B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 24_BC-11A_ATF@Secunderabad,1919,ABCD1234,1,0
LP 25_BC-11B_ATF@Secunderabad,1919,ABCD1234,1,0
LP 26_BC-12A_ATF@Secunderabad,1919,ABCD1234,1,0
LP 27_BC-12B_ATF@Secunderabad,1919,ABCD1234,1,0
LP 28_BC-13A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 29_BC-13B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 30_BC-14A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 31_BC-14B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 32_BC-15A_BS VI MS@Secunderabad,1919,ABCD1234,1,0
LP 33_BC-15B_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 34_BC-8A-LP1_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 35_BC-8A-LP2_BS VI HSD@Secunderabad,1919,ABCD1234,1,0
LP 36_BC-8B-LP1_SKO@Secunderabad,1919,ABCD1234,1,0
LP 37_BC-8B-LP2_SKO@Secunderabad,1919,ABCD1234,1,0
LP-1_BC-501A_BS VI MS@Rewari,1334,ABCD1234,1,0
LP-2_BC-501B_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-3_BC-502A_BS VI MS@Rewari,1334,ABCD1234,1,0
LP-4_BC-502B_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-5_BC-503A_BS VI MS@Rewari,1334,ABCD1234,1,0
LP-6_BC-503B_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-7_BC-504A_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-8_BC-504B_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-9_BC-505A_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-10_BC-505B_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-11_BC-506A_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-12_BC-506B_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-13_BC-507A_BS VI MS@Rewari,1334,ABCD1234,1,0
LP-14_BC-507B_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-15_BC-508A_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP-16_BC-508B_BS VI HSD@Rewari,1334,ABCD1234,1,0
LP 01_BC-501A_BS VI MS@Roorkee,1155,ABCD1234,1,0
LP 02_BC-501B_BS VI HSD@Roorkee,1155,ABCD1234,1,0
LP 03_BC-502A_BS VI MS@Roorkee,1155,ABCD1234,1,0
LP 04_BC-502B_BS VI HSD@Roorkee,1155,ABCD1234,1,0
LP 05_BC-503A_BS VI MS@Roorkee,1155,ABCD1234,1,0
LP 06_BC-503B_BS VI HSD@Roorkee,1155,ABCD1234,1,0
LP 07_BC-504A_BS VI MS@Roorkee,1155,ABCD1234,1,0
LP 08_BC-504B_BS VI HSD@Roorkee,1155,ABCD1234,1,0
LP 09_BC-505A_BS IV MS@Roorkee,1155,ABCD1234,1,0
