TRUCKNO,DEALERID
AS01DC7344,410347407
PB02CC9367,410071307
WB57B9057,410038827
BR10G4392,410221627
MP38L0055,410525387
KA11A9398,410040617
ML05M4399,410266867
BR01GD3925,410260397
MH41AG3791,410478657
MH29T1305,410511947
CG12AL1222,410482997
AP35W9927,410093477
MP09GF6888,410531057
RJ19GD5222,410289547
UP30T7551,410171977
GJ03AZ9917,410554217
RJ01GB5395,410496947
MH11AL6070,410504397
MH19Z4788,410516867
CG18H1845,410529217
KL10AF1777,410293417
RJ07GB8581,410250627
JK03D7461,410201857
KA09C0399,410384067
KL16N1708,410293587
RJ04GA9935,410044827
WB15C1666,410548147
KA27B1087,410509637
OD05L1899,410067697
WB57B8591,410276227
RJ03GA3087,410402927
BR39G5480,410094457
BR08G1432,410235797
TN15Z9888,410400267
OD09B4468,410173267
TN18R9234,410222057
UP53BT2721,410271667
BR29M2711,410221587
UP45T1926,410132717
JK01U9112,410563067
BR02T3581,410060537
KL18N5009,410021087
RJ19GC2661,410241127
RJ39GA0915,410065247
KA04AA0807,410034517
OD17C3111,410491617
UP45T3947,410562397
ML05J3851,410260507
ML05M4399,410266867
JK01W6507,410563067
KA14B0449,410461137
TS04UA5767,410411997
WB55A3148,410548597
HP48B0255,410265477
AS11BC4099,410264477
AP20TB1188,410113517
UP25BT3282,410276607
TS04UA6066,410029917
BR45G0936,410218787
AS03AC2465,410257637
AS05C3211,410206337
BR39F8287,410096887
AP31TF0789,142908
CG15AC3880,410163847
CG04JD1191,410170617
KA23A6847,410066327
OD13C1355,410540087
BR02Q4851,410561657
WB33C1304,410166307
TN11X1714,410471007
BR50G2005,410252487
KA22C7722,410045127
KL01BR2614,410230267
BR06GA3961,410218107
MZ01K5277,410202577
MP36H0589,410508847
CG10R3100,410172997
WB53B2588,410548467
UP50AT7475,410132697
RJ07GB8431,410044397
RJ21GB0409,410162377
RJ41GA0020,410498057
UP51T6751,410250907
GJ18AX3347,410461807
CG17KV4579,410414117
BR11S5839,410097907
OD02H0017,410172667
WB19G0175,410215617
KA36A6611,410048547
KA25AA2008,410066277
AS01DC5711,410347667
MH35K5678,410492747
BR06GA3832,410218917
MH16AE9113,410552147
WB33B9522,410537857
TN22CM2997,410200867
AP23Y8100,410534017
JK01U9113,410564897
PB10ES9199,410108237
KA14B3929,410501867
KA545186,410055397
UP70HT6931,410171797
RJ02GB5750,410180597
HR37E6620,410570327
KA644147,410034657
KA07B1348,410309607
HR61D5000,410568387
GJ27TT3847,410493487
RJ14GL3493,410296827
UP93BT7612,410195887
PB65AS5344,410092227
UP82T5707,410371347
MH29BE2000,410541667
CG12S4722,410466643
GJ15AV3547,410474447
GJ03BT8145,410540327
GJ12BV7887,410491087
KA35C6495,410457577
JK01AG4511,410202157
UP32QN9783,410165527
HR65A4643,410410407
GJ27TT9889,410475837
AP31TH1688,142896
HR68B8026,410410317
NL01L4386,410560217
WB25E8232,410215317
TS01UC5028,410339797
GJ04AW3454,410453547
HR657069,410137967
GJ01DY9967,410475867
NL07AA1350,410209467
AS01NC4857,410209217
UP42BT1001,410060077
UP21CT0354,410262477
MH29BE0770,410504447
MH35AJ1951,410584037
PB03BJ9229,410114397
MP46H2007,410499777
RJ30GA8827,410404017
CG04NG5411,410414237
HR57A5398,410145047
HR57A2744,410413167
RJ22GB4523,410290727
OD04K4457,410404647
AS01NC0691,410202357
JK074719,410201737
GJ01JT1406,410493897
RJ06GC3177,410457687
UP82AT1006,410325937
MH497007,410526577
MH24AU4489,410477267
JK14H1621,410271467
MH45AF9951,410452797
WB51B8558,410266947
UP26T0006,410120557
MH33Q4449,410525307
BR09GB6215,410428907
KA05AJ9095,410040757
OD24D3394,410175007
MH40Y2799,410541717
RJ50GB5151,410385957
HR61D3371,410150747
MH14KA4949,410525877
JH02AX4377,410060007
UP50DT0522,410063107
CG13AS7101,410172617
RJ27GB1425,410152627
GJ11Z1075,410479697
AP31TF6479,142964
PB65BC2673,410563387
TN23DA4599,410215747
HP92A3300,410032487
HR55AL1689,410096187
PB10HV4240,410229097
AS01HC3724,410368687
WB73G2797,410239767
JH05DE6788,410187087
JK01AL8162,410563067
UP50DT3459,410063237
WB73F7609,410242327
GJ05CU7744,410426857
UP23T6953,410024247
GJ14X7806,410542977
GJ25U7191,410483387
GJ03BY5699,410491127
GJ27TT9889,410475837
GJ18BT7591,410470077
HR46E0052,410566607
MH34AB3252,410564467
RJ53GA5353,410418967
BR05GB6686,410408147
MP13GB0239,410552417
OD23K2771,410070467
GJ18BT3594,410483357
GJ01HT9668,410191607
JH09AA1499,410562177
CG05AM4619,410167427
UP36T7592,410168907
UP21CN5498,410024767
KA18C5438,410469297
BR09GB3397,410560887
ML05H9462,410369897
MH26BE6591,410521997
GJ20X0907,410494927
HR38AA2248,410569557
UP82AT3394,410561417
AS01NC0583,410347757
MH36AA0070,410515807
GJ36T5600,410543167
PB65BB9371,410288337
KL10BC0966,410054757
RJ01GC4082,410351397
UP92AT2558,410330537
JK01AL8136,410201407
AS01MC9318,410209277
UP25ET1777,410395097
MH23AU4003,410414777
PB65BB9587,410105237
TS07UJ6369,410529737
MH18BG7680,410523947
UP70HT6931,410171797
RJ21GC3803,410048447
MH39AD1024,410564397
UP70ET3370,410120317
GJ13AW8167,410453367
PB10FV7707,410051737
GJ03BV7916,410543107
TR01AP1576,410347317
HR57A0090,410147477
WB65D4311,410345997
MH20EL6283,410529647
UP21BN6468,410024767
MH26BE6818,410555697
MH38X2232,410443617
HR627365,410566857
RJ19GH0797,410141427
RJ14GL5002,410401267
HR61E2997,410147727
MH21X6271,410519387
UP16FT6770,410304907
MP09HH7870,410495237
HR61C7505,410079057
MH18BG7029,410524057
MH35AJ0309,410481427
GA04T6057,410442267
SK04D1450,410267607
MP35HA0347,410505317
JH18J0282,410059727
MH28BB1919,410493997
MH37T0786,410524797
AP31TF3455,142900
PB03BJ8181,410567207
WB19J6868,410215487
OD07AB2424,410169607
AP26TD4444,410058027
MH26AD0705,410533257
OD02BJ7646,410532887
AS07BC4001,410209277
MH27BX2110,410515507
HR47E8825,410095977
AS15AC5697,410260467
UP70ET0678,410268857
UP70DT1385,410226147
WB39B6634,410264377
HP38F5975,410566467
OD16J4424,410088727
DD01F9668,410487197
MH12SX0001,410537247
CG30D1800,410353917
HR64A0015,410266437
MH46BM4849,410467647
OD35F4569,410402567
AP31TF5767,142903
AP28TE7878,142900
AP28TE7889,142900
AP27TT0959,142908
GJ10TT8558,410545647
UP45T3947,410562397
MH21X8689,410498407
MH14JC1255,410503817
JK03L5942,410204567
RJ14GN1140,410183847
RJ20GB8588,410238817
MH21BH3360,410533177
OD05BD4360,410526087
OD06G2959,410136177
MH38X2270,410422787
MH26BE7887,410414977
TN13Y2800,410222207
AP31TP2679,410330107
TN18BD2525,410338527
AS01PC2333,410149127
MH18AA0888,410544627
MH11AL3654,410528517
GJ09AU3132,410495807
MH35AJ0309,410481427
MH16CS1122,410534937
KA19AA0339,410034677
MH40Y8889,410541687
JK10B2351,410201587
GJ20X5353,410494937
GJ01JT3913,410475547
TS06UD1496,410339897
OD18E6309,410173077
KA702444,410110827
RJ50GA3837,410050557
HR65A9058,410208237
HR61D0277,410150767
KA38A3541,410317387
PB05AP1921,410266497
MH20EL4726,410480027
GJ12BY1125,410543357
CG04NS5132,410441277
CG10BH2409,410483077
UP70CT0495,410165627
MH44U2200,410524537
AP31TF6127,142903
RJ07GD4688,410295087
AP02TE1780,410502017
GJ18BT6908,410462327
HR63E8113,410096027
PB11CJ0465,410051817
PB10FV5255,410271407
UP11BT7879,410566687
GJ03BY9846,410197257
UP57T7889,410056437
MH16AY6290,410537107
KA32C5353,410396257
JK01U9114,410563067
JK05E6771,410202027
PB10FF2978,410265837
JH01BY3083,410076267
MP09GJ0801,410499847
JK12C3777,410205177
RJ19GD1743,410385097
UP71AT5661,410323357
HR61D1080,410147807
UK09CA0880,410568477
GJ25U8091,410430827
JK02AR3255,410563997
KA42A6399,410037437
HR73A8301,410144377
UP13AT1806,410570177
GJ12BZ8620,410543127
GJ12AZ1905,410530527
MH29BE2268,410424927
MH12SX5778,410557937
MH40CD9948,410504337
JH01ER7777,410060217
OD30C0048,410170427
OD10K8703,410068227
RJ17GA9795,410382417
WB25J6913,410270047
JK14F9907,410223177
RJ14GL1417,410497897
DL1GC6836,410192527
UP78CN3772,410172097
UP30T4168,410256447
RJ37GA4993,410485377
UP76K3257,410199397
MH25AX7000,410557557
TS07UJ2215,410583897
RJ44GA3456,410416497
GJ14X7806,410542977
KA14B2016,410501837
AP24TA4149,410337657
CG17KK4750,410472687
KL58S1006,410400387
KL53J7712,410123287
WB53B7666,410041007
DL1GC5376,410192617
UP78CT3822,410345287
RJ43GA4042,410048597
UP74T4015,410267837
KA439969,410034747
MP09HH2301,410499887
HR67B2004,410250067
HR67B4659,410563487
BR01GF6978,410560147
TS03UA7929,410365137
MH20DE4708,410523187
